incoming,reply,category
Please cancel my subscription.,Your subscription has been cancelled successfully.,Subscription
The app crashes every time I open it.,We're sorry. Please reinstall the latest version or contact support.,Bug
Can I change my delivery address?,"Yes, if your order has not been shipped.",Shipping
I forgot my password.,Please use the Forgot Password link to create a new password.,Support
I received the wrong product yesterday.,We're sorry for the inconvenience. We have initiated a replacement for your product.,Replacement
Can I get a refund?,Yes. Refunds are processed within five business days.,Refund
My account is locked.,Please reset your password using the Forgot Password option.,Support
I'd like to schedule a meeting tomorrow.,Sure! Please let us know your preferred time.,Meeting
Thank you for your support.,You're welcome! Happy to help.,General
My package has not arrived.,We're checking your shipment and will update you shortly.,Shipping
Please cancel my subscription.,Your subscription has been cancelled successfully.,Subscription
The app crashes every time I open it.,We're sorry. Please reinstall the latest version or contact support.,Bug
Can I change my delivery address?,"Yes, if your order has not been shipped.",Shipping
I forgot my password.,Please use the Forgot Password link to create a new password.,Support
I received the wrong product yesterday.,We're sorry for the inconvenience. We have initiated a replacement for your product.,Replacement
Can I get a refund?,Yes. Refunds are processed within five business days.,Refund
My account is locked.,Please reset your password using the Forgot Password option.,Support
I'd like to schedule a meeting tomorrow.,Sure! Please let us know your preferred time.,Meeting
Thank you for your support.,You're welcome! Happy to help.,General
My package has not arrived.,We're checking your shipment and will update you shortly.,Shipping
Please cancel my subscription.,Your subscription has been cancelled successfully.,Subscription
The app crashes every time I open it.,We're sorry. Please reinstall the latest version or contact support.,Bug
Can I change my delivery address?,"Yes, if your order has not been shipped.",Shipping
I forgot my password.,Please use the Forgot Password link to create a new password.,Support
I received the wrong product yesterday.,We're sorry for the inconvenience. We have initiated a replacement for your product.,Replacement
Can I get a refund?,Yes. Refunds are processed within five business days.,Refund
My account is locked.,Please reset your password using the Forgot Password option.,Support
I'd like to schedule a meeting tomorrow.,Sure! Please let us know your preferred time.,Meeting
Thank you for your support.,You're welcome! Happy to help.,General
My package has not arrived.,We're checking your shipment and will update you shortly.,Shipping
Please cancel my subscription.,Your subscription has been cancelled successfully.,Subscription
The app crashes every time I open it.,We're sorry. Please reinstall the latest version or contact support.,Bug
Can I change my delivery address?,"Yes, if your order has not been shipped.",Shipping
I forgot my password.,Please use the Forgot Password link to create a new password.,Support
I received the wrong product yesterday.,We're sorry for the inconvenience. We have initiated a replacement for your product.,Replacement
Can I get a refund?,Yes. Refunds are processed within five business days.,Refund
My account is locked.,Please reset your password using the Forgot Password option.,Support
I'd like to schedule a meeting tomorrow.,Sure! Please let us know your preferred time.,Meeting
Thank you for your support.,You're welcome! Happy to help.,General
My package has not arrived.,We're checking your shipment and will update you shortly.,Shipping
Please cancel my subscription.,Your subscription has been cancelled successfully.,Subscription
The app crashes every time I open it.,We're sorry. Please reinstall the latest version or contact support.,Bug
Can I change my delivery address?,"Yes, if your order has not been shipped.",Shipping
I forgot my password.,Please use the Forgot Password link to create a new password.,Support
I received the wrong product yesterday.,We're sorry for the inconvenience. We have initiated a replacement for your product.,Replacement
Can I get a refund?,Yes. Refunds are processed within five business days.,Refund
My account is locked.,Please reset your password using the Forgot Password option.,Support
I'd like to schedule a meeting tomorrow.,Sure! Please let us know your preferred time.,Meeting
Thank you for your support.,You're welcome! Happy to help.,General
My package has not arrived.,We're checking your shipment and will update you shortly.,Shipping
Please cancel my subscription.,Your subscription has been cancelled successfully.,Subscription
The app crashes every time I open it.,We're sorry. Please reinstall the latest version or contact support.,Bug
Can I change my delivery address?,"Yes, if your order has not been shipped.",Shipping
I forgot my password.,Please use the Forgot Password link to create a new password.,Support
I received the wrong product yesterday.,We're sorry for the inconvenience. We have initiated a replacement for your product.,Replacement
Can I get a refund?,Yes. Refunds are processed within five business days.,Refund
My account is locked.,Please reset your password using the Forgot Password option.,Support
I'd like to schedule a meeting tomorrow.,Sure! Please let us know your preferred time.,Meeting
Thank you for your support.,You're welcome! Happy to help.,General
My package has not arrived.,We're checking your shipment and will update you shortly.,Shipping
Please cancel my subscription.,Your subscription has been cancelled successfully.,Subscription
The app crashes every time I open it.,We're sorry. Please reinstall the latest version or contact support.,Bug
Can I change my delivery address?,"Yes, if your order has not been shipped.",Shipping
I forgot my password.,Please use the Forgot Password link to create a new password.,Support
I received the wrong product yesterday.,We're sorry for the inconvenience. We have initiated a replacement for your product.,Replacement
Can I get a refund?,Yes. Refunds are processed within five business days.,Refund
My account is locked.,Please reset your password using the Forgot Password option.,Support
I'd like to schedule a meeting tomorrow.,Sure! Please let us know your preferred time.,Meeting
Thank you for your support.,You're welcome! Happy to help.,General
My package has not arrived.,We're checking your shipment and will update you shortly.,Shipping
Please cancel my subscription.,Your subscription has been cancelled successfully.,Subscription
The app crashes every time I open it.,We're sorry. Please reinstall the latest version or contact support.,Bug
Can I change my delivery address?,"Yes, if your order has not been shipped.",Shipping
I forgot my password.,Please use the Forgot Password link to create a new password.,Support
